student_cert_id,student_id,certification_id,attempt_date,attempt_number,exam_score,passed,issue_date,expiration_date,certificate_number,verified_by_staff_id,digital_badge_issued,badge_url,linked_to_portfolio,employer_verified,renewal_reminder_sent,status,notes,created_at,updated_at
SCR-99500,STU-000866,CRT-007,2025-01-15,1,95.00,true,2025-01-19,2026-07-14,CERT-1095004,STF-0046,true,https://badges.betteryouth.org/verify/CERT-1095004,true,true,true,Active,Excellent performance,2022-03-05T00:00:00.000Z,2022-03-12T00:00:00.000Z
SCR-99501,STU-000405,CRT-014,2025-01-24,1,53.00,true,2025-02-03,2026-11-27,CERT-1095013,STF-0005,true,https://badges.betteryouth.org/verify/CERT-1095013,true,true,true,Active,Recommended for advanced certification,2022-03-14T00:00:00.000Z,2022-03-21T00:00:00.000Z
SCR-99501,STU-001930,CRT-007,2025-01-30,1,59.00,true,2025-02-12,null,CERT-1095019,STF-0022,true,https://badges.betteryouth.org/verify/CERT-1095019,true,true,true,Active,Excellent performance,2022-03-20T00:00:00.000Z,2022-03-27T00:00:00.000Z
SCR-99506,STU-000955,CRT-018,2025-03-21,1,58.00,true,2025-04-04,null,CERT-1095069,STF-0017,true,https://badges.betteryouth.org/verify/CERT-1095069,true,false,false,Active,Excellent performance,2022-05-09T00:00:00.000Z,2022-05-16T00:00:00.000Z
SCR-99515,STU-001254,CRT-007,2025-06-14,1,92.00,true,2025-06-23,null,CERT-1095154,STF-0002,true,https://badges.betteryouth.org/verify/CERT-1095154,true,false,false,Active,Excellent performance,2022-08-02T00:00:00.000Z,2022-08-09T00:00:00.000Z
SCR-99524,STU-000316,CRT-018,2025-09-11,1,79.00,true,2025-09-14,null,CERT-1095243,STF-0003,true,https://badges.betteryouth.org/verify/CERT-1095243,true,false,false,Active,Recommended for advanced certification,2022-10-30T00:00:00.000Z,2022-11-06T00:00:00.000Z
SCR-99526,STU-000165,CRT-012,2025-10-05,1,52.00,true,2025-10-12,2027-08-29,CERT-1095267,STF-0022,true,https://badges.betteryouth.org/verify/CERT-1095267,true,false,false,Active,Improved from previous attempt,2022-11-23T00:00:00.000Z,2022-11-30T00:00:00.000Z
SCR-99548,STU-001360,CRT-009,2025-05-06,2,61.00,false,2025-05-19,2027-02-16,CERT-1095480,STF-0036,true,https://badges.betteryouth.org/verify/CERT-1095480,false,false,false,Expired,,2023-06-24T00:00:00.000Z,2023-07-01T00:00:00.000Z
SCR-99559,STU-001113,CRT-001,2025-08-27,2,72.00,false,2025-09-06,2027-08-30,CERT-1095593,STF-0004,false,https://badges.betteryouth.org/verify/CERT-1095593,false,false,false,Pending Renewal,Recommended for advanced certification,2023-10-15T00:00:00.000Z,2023-10-22T00:00:00.000Z
SCR-99563,STU-000169,CRT-013,2025-10-06,1,61.00,true,2025-10-20,2028-05-24,CERT-1095633,STF-0014,true,https://badges.betteryouth.org/verify/CERT-1095633,true,false,false,Active,Recommended for advanced certification,2023-11-24T00:00:00.000Z,2023-12-01T00:00:00.000Z
SCR-99570,STU-001263,CRT-011,2025-12-20,1,85.00,true,2025-12-21,2026-12-25,CERT-1095708,STF-0009,true,https://badges.betteryouth.org/verify/CERT-1095708,true,true,true,Active,Recommended for advanced certification,2024-02-07T00:00:00.000Z,2024-02-14T00:00:00.000Z
SCR-99573,STU-000488,CRT-016,2025-01-16,1,61.00,true,2025-01-17,null,CERT-1095735,STF-0018,true,https://badges.betteryouth.org/verify/CERT-1095735,true,false,false,Active,,2024-03-05T00:00:00.000Z,2024-03-12T00:00:00.000Z
