goal_id,student_id,goal_type,goal_title,description,start_date,target_completion_date,actual_completion_date,priority,progress_percentage,milestones_total,milestones_completed,mentor_assigned_id,staff_assigned_id,program_id,barriers_identified,support_needed,last_review_date,next_review_date,notes,status,created_at,updated_at
GOL-370122,STU-001004,Career,Improve attendance,Improve attendance - Personal development goal for Better Youth student,2025-01-13,2025-06-06,2025-06-09,High,58,6,6,null,STF-0007,PRG-014,None,Mentoring,2025-01-13,2025-02-12,Revised timeline,Active,2025-02-09T00:00:00.000Z,2025-02-23T00:00:00.000Z
GOL-370177,STU-000765,Health/Wellness,College application completion,College application completion - Personal development goal for Better Youth student,2025-03-09,2025-05-06,2025-08-10,Medium,12,5,7,MNT-0103,STF-0001,PRG-012,Personal challenges,Tutoring,2025-03-09,2025-04-08,Needs attention,Completed,2025-04-05T00:00:00.000Z,2025-04-19T00:00:00.000Z
GOL-370217,STU-000527,Career,Build portfolio,Build portfolio - Personal development goal for Better Youth student,2025-04-18,2025-06-24,null,High,52,3,2,null,STF-0006,null,None,Tutoring,2025-04-18,2025-05-18,On track,Active,2025-05-15T00:00:00.000Z,2025-05-29T00:00:00.000Z
GOL-370269,STU-002000,Financial,Create independent project,Create independent project - Personal development goal for Better Youth student,2025-06-09,2025-11-30,null,Medium,3,6,0,null,STF-0017,PRG-011,Transportation,Financial assistance,2025-06-09,2025-07-09,Revised timeline,Completed,2025-07-06T00:00:00.000Z,2025-07-20T00:00:00.000Z
GOL-370312,STU-001891,Academic,College application completion,College application completion - Personal development goal for Better Youth student,2025-07-22,2025-12-13,null,High,46,7,7,MNT-0135,STF-0029,null,None,None additional,2025-07-22,2025-08-21,Additional support provided,Active,2025-08-18T00:00:00.000Z,2025-09-01T00:00:00.000Z
GOL-370348,STU-001779,Skills Development,Master video editing,Master video editing - Personal development goal for Better Youth student,2025-08-27,2026-01-17,2025-12-11,Medium,82,8,7,MNT-0177,STF-0047,PRG-005,Time constraints,Transportation,2025-08-27,2025-09-26,Excellent progress,Completed,2025-09-23T00:00:00.000Z,2025-10-07T00:00:00.000Z
GOL-370350,STU-001917,Skills Development,Complete program certification,Complete program certification - Personal development goal for Better Youth student,2025-08-29,2025-10-28,null,Medium,84,3,0,MNT-0162,STF-0035,PRG-013,Resource access,Counseling,2025-08-29,2025-09-28,On track,Completed,2025-09-25T00:00:00.000Z,2025-10-09T00:00:00.000Z
GOL-370459,STU-001922,Personal Growth,Learn new software,Learn new software - Personal development goal for Better Youth student,2025-12-16,2026-03-17,2026-06-07,Medium,92,7,1,MNT-0191,STF-0047,null,Resource access,Equipment access,2025-12-16,2026-01-15,Additional support provided,Completed,2023-01-12T00:00:00.000Z,2023-01-26T00:00:00.000Z
GOL-370469,STU-000474,Financial,Complete community service hours,Complete community service hours - Personal development goal for Better Youth student,2025-12-26,2026-06-12,null,Medium,1,3,2,MNT-0042,STF-0048,PRG-013,Transportation,Financial assistance,2025-12-26,2026-01-25,On track,Completed,2023-01-22T00:00:00.000Z,2023-02-05T00:00:00.000Z
GOL-370471,STU-000603,Financial,Improve GPA,Improve GPA - Personal development goal for Better Youth student,2025-12-28,2026-07-07,null,Medium,3,5,4,MNT-0057,STF-0050,PRG-003,Transportation,Flexible scheduling,2025-12-28,2026-01-27,Needs attention,Completed,2023-01-24T00:00:00.000Z,2023-02-07T00:00:00.000Z
GOL-370506,STU-000024,Academic,Financial savings goal,Financial savings goal - Personal development goal for Better Youth student,2025-02-01,2025-04-26,2025-07-27,High,38,5,3,MNT-0153,STF-0030,PRG-012,None,Mentoring,2025-02-01,2025-03-03,Needs attention,Active,2023-02-28T00:00:00.000Z,2023-03-14T00:00:00.000Z
GOL-370612,STU-001922,Academic,College application completion,College application completion - Personal development goal for Better Youth student,2025-05-18,2025-08-31,2025-07-19,High,43,6,1,MNT-0005,STF-0008,PRG-001,None,Transportation,2025-05-18,2025-06-17,Revised timeline,Active,2023-06-14T00:00:00.000Z,2023-06-28T00:00:00.000Z
GOL-370638,STU-001846,Skills Development,Secure internship,Secure internship - Personal development goal for Better Youth student,2025-06-13,2025-11-06,2025-10-24,Medium,69,4,0,MNT-0033,STF-0004,PRG-010,Time constraints,Counseling,2025-06-13,2025-07-13,Ahead of schedule,Active,2023-07-10T00:00:00.000Z,2023-07-24T00:00:00.000Z
GOL-370661,STU-001641,Personal Growth,Mentor a peer,Mentor a peer - Personal development goal for Better Youth student,2025-07-06,2025-11-15,2025-11-11,Medium,92,6,5,MNT-0122,STF-0039,PRG-003,Resource access,Financial assistance,2025-07-06,2025-08-05,Revised timeline,Completed,2023-08-02T00:00:00.000Z,2023-08-16T00:00:00.000Z
GOL-370664,STU-001768,Personal Growth,Complete community service hours,Complete community service hours - Personal development goal for Better Youth student,2025-07-09,2025-08-21,null,Medium,95,2,8,MNT-0127,STF-0046,PRG-007,Transportation,None additional,2025-07-09,2025-08-08,,Completed,2023-08-05T00:00:00.000Z,2023-08-19T00:00:00.000Z
