outcome_id,student_id,metric_id,measurement_date,measurement_period,value,previous_value,target_value,target_met,improvement_from_baseline,percentile_rank,assessed_by_staff_id,assessment_method,confidence_level,supporting_evidence,context_notes,program_id,cohort_id,follow_up_required,intervention_recommended,data_quality_flag,created_at,updated_at
OUT-000001,STU-000001,METRIC-0002,2023-04-13,Q2 2023,73,62,81,false,6,51,STAFF-0002,Project Review,Medium,Test Scores,Context notes for outcome 1,PROG-0002,COHORT-002,false,null,Verified,2026-01-28T20:15:56.048Z,2026-01-28T20:15:56.048Z
OUT-000002,STU-000002,METRIC-0003,2023-04-25,Q3 2023,76,64,82,false,7,52,STAFF-0003,Portfolio Assessment,Low,Project Work,Context notes for outcome 2,PROG-0003,COHORT-003,false,null,Verified,2026-01-28T20:15:56.048Z,2026-01-28T20:15:56.048Z
OUT-000003,STU-000003,METRIC-0004,2023-05-07,Q4 2023,79,66,83,true,8,53,STAFF-0004,Observation,High,Peer Review,Context notes for outcome 3,PROG-0004,COHORT-004,false,null,Verified,2026-01-28T20:15:56.048Z,2026-01-28T20:15:56.048Z
OUT-000004,STU-000004,METRIC-0005,2023-05-19,Q1 2023,82,68,84,false,9,54,STAFF-0005,Test,Medium,Self Assessment,Context notes for outcome 4,PROG-0005,COHORT-005,false,null,Verified,2026-01-28T20:15:56.048Z,2026-01-28T20:15:56.048Z
OUT-000005,STU-000005,METRIC-0006,2023-05-31,Q2 2023,85,70,85,false,10,55,STAFF-0001,Project Review,Low,Portfolio,Context notes for outcome 5,PROG-0006,COHORT-001,false,null,Verified,2026-01-28T20:15:56.048Z,2026-01-28T20:15:56.048Z
OUT-000006,STU-000006,METRIC-0007,2023-06-12,Q3 2023,88,72,86,true,11,56,STAFF-0002,Portfolio Assessment,High,Test Scores,Context notes for outcome 6,PROG-0007,COHORT-002,false,null,Verified,2026-01-28T20:15:56.048Z,2026-01-28T20:15:56.048Z
OUT-000007,STU-000007,METRIC-0008,2023-06-24,Q4 2023,91,74,87,false,12,57,STAFF-0003,Observation,Medium,Project Work,Context notes for outcome 7,PROG-0008,COHORT-003,true,null,Verified,2026-01-28T20:15:56.048Z,2026-01-28T20:15:56.048Z
OUT-000008,STU-000008,METRIC-0009,2023-07-06,Q1 2023,94,76,88,false,13,58,STAFF-0004,Test,Low,Peer Review,Context notes for outcome 8,PROG-0009,COHORT-004,false,Additional tutoring,Verified,2026-01-28T20:15:56.048Z,2026-01-28T20:15:56.048Z
OUT-000009,STU-000009,METRIC-0010,2023-07-18,Q2 2023,97,78,89,true,14,59,STAFF-0005,Project Review,High,Self Assessment,Context notes for outcome 9,PROG-0010,COHORT-005,false,null,Verified,2026-01-28T20:15:56.048Z,2026-01-28T20:15:56.048Z
OUT-000010,STU-000010,METRIC-0001,2023-07-30,Q3 2023,70,80,90,false,15,60,STAFF-0001,Portfolio Assessment,Medium,Portfolio,Context notes for outcome 10,PROG-0001,COHORT-001,false,null,Verified,2026-01-28T20:15:56.048Z,2026-01-28T20:15:56.048Z
OUT-000011,STU-000011,METRIC-0002,2023-08-11,Q4 2023,73,82,91,false,16,61,STAFF-0002,Observation,Low,Test Scores,Context notes for outcome 11,PROG-0002,COHORT-002,false,null,Verified,2026-01-28T20:15:56.048Z,2026-01-28T20:15:56.048Z
OUT-000012,STU-000012,METRIC-0003,2023-08-23,Q1 2023,76,84,92,true,17,62,STAFF-0003,Test,High,Project Work,Context notes for outcome 12,PROG-0003,COHORT-003,false,null,Verified,2026-01-28T20:15:56.048Z,2026-01-28T20:15:56.048Z
