outcome_id,student_id,metric_id,measurement_date,measurement_period,value,previous_value,target_value,target_met,improvement_from_baseline,percentile_rank,assessed_by_staff_id,assessment_method,confidence_level,supporting_evidence,context_notes,program_id,cohort_id,follow_up_required,intervention_recommended,data_quality_flag,created_at,updated_at
OUT-780050,STU-000259,MTR-003,2025-02-15,Q3 2023,27.00,27.00,55.00,true,24.00,51,STF-0046,Peer Review,Medium,Survey Response,External factors affected score,PRG-003,COH-2025,false,None,Valid,2025-03-05T00:00:00.000Z,2025-03-12T00:00:00.000Z
OUT-780089,STU-000322,MTR-019,2025-03-26,Q2 2024,66.00,66.00,94.00,false,-8.00,90,STF-0006,Observation,Medium,Attendance Records,Significant improvement,PRG-015,COH-2025,false,Resource Provision,Estimated,2025-04-13T00:00:00.000Z,2025-04-20T00:00:00.000Z
OUT-780094,STU-001239,MTR-028,2025-03-31,Q3 2025,71.00,71.00,99.00,false,-3.00,95,STF-0003,System Calculated,Low,Portfolio Review,,PRG-001,COH-2024,false,Resource Provision,Incomplete,2025-04-18T00:00:00.000Z,2025-04-25T00:00:00.000Z
OUT-780103,STU-000454,MTR-001,2025-04-09,Q4 2024,80.00,80.00,57.00,true,6.00,4,STF-0012,Staff Evaluation,High,Attendance Records,Significant improvement,PRG-015,COH-2024,true,None,Valid,2025-04-27T00:00:00.000Z,2025-05-04T00:00:00.000Z
OUT-780112,STU-001943,MTR-011,2025-04-18,Q1 2024,89.00,89.00,66.00,true,15.00,13,STF-0027,System Calculated,High,Certification,Exceeded expectations,PRG-001,COH-2024,true,None,Valid,2025-05-06T00:00:00.000Z,2025-05-13T00:00:00.000Z
OUT-780120,STU-000033,MTR-020,2025-04-26,Q1 2023,97.00,97.00,74.00,true,23.00,21,STF-0050,Self-Assessment,High,Survey Response,External factors affected score,PRG-010,COH-2023,true,None,Valid,2025-05-14T00:00:00.000Z,2025-05-21T00:00:00.000Z
OUT-780162,STU-001083,MTR-001,2025-06-07,Q3 2024,38.00,38.00,65.00,true,-6.00,63,STF-0009,Self-Assessment,Medium,Survey Response,External factors affected score,PRG-012,COH-2023,false,Additional Tutoring,Valid,2025-06-25T00:00:00.000Z,2025-07-02T00:00:00.000Z
OUT-780185,STU-001974,MTR-030,2025-06-30,Q2 2024,61.00,null,88.00,false,17.00,86,STF-0016,Observation,Medium,Portfolio Review,,PRG-001,COH-2025,false,Counseling,Estimated,2025-07-18T00:00:00.000Z,2025-07-25T00:00:00.000Z
OUT-780189,STU-000912,MTR-010,2025-07-04,Q2 2025,65.00,65.00,92.00,false,21.00,90,STF-0039,External Assessment,Medium,Certification,Exceeded expectations,PRG-012,COH-2023,false,Resource Provision,Estimated,2025-07-22T00:00:00.000Z,2025-07-29T00:00:00.000Z
OUT-780215,STU-000576,MTR-007,2025-07-30,Q4 2025,91.00,91.00,67.00,true,47.00,16,STF-0018,Observation,High,Attendance Records,Significant improvement,PRG-002,COH-2025,true,None,Valid,2025-08-17T00:00:00.000Z,2025-08-24T00:00:00.000Z
OUT-780266,STU-001670,MTR-009,2025-09-19,Q3 2023,41.00,null,67.00,true,27.00,67,STF-0016,Peer Review,Medium,Certification,Exceeded expectations,PRG-014,COH-2025,false,Additional Tutoring,Valid,2025-10-07T00:00:00.000Z,2025-10-14T00:00:00.000Z
OUT-780322,STU-000033,MTR-016,2025-11-14,Q3 2025,97.00,97.00,72.00,true,12.00,23,STF-0005,System Calculated,High,Certification,Exceeded expectations,PRG-013,COH-2024,true,None,Valid,2025-12-02T00:00:00.000Z,2025-12-09T00:00:00.000Z
OUT-780405,STU-000993,MTR-004,2025-02-05,Q2 2025,79.00,null,53.00,true,24.00,6,STF-0023,External Assessment,High,Project Completion,Needs additional support,PRG-014,COH-2023,true,None,Valid,2023-02-23T00:00:00.000Z,2023-03-02T00:00:00.000Z
OUT-780489,STU-001916,MTR-006,2025-04-30,Q2 2025,62.00,62.00,86.00,false,37.00,90,STF-0015,External Assessment,Medium,Project Completion,Needs additional support,PRG-001,COH-2023,false,Resource Provision,Estimated,2023-05-18T00:00:00.000Z,2023-05-25T00:00:00.000Z
OUT-780535,STU-000068,MTR-015,2025-06-15,Q4 2024,7.00,null,81.00,true,12.00,36,STF-0023,Staff Evaluation,High,Portfolio Review,,PRG-001,COH-2024,false,None,Valid,2023-07-03T00:00:00.000Z,2023-07-10T00:00:00.000Z
OUT-780547,STU-001797,MTR-003,2025-06-27,Q4 2024,19.00,19.00,93.00,true,24.00,48,STF-0049,Staff Evaluation,High,Survey Response,External factors affected score,PRG-010,COH-2024,false,None,Valid,2023-07-15T00:00:00.000Z,2023-07-22T00:00:00.000Z
OUT-780649,STU-000212,MTR-023,2025-10-07,Q2 2023,20.00,null,93.00,true,-16.00,50,STF-0046,Staff Evaluation,High,Attendance Records,Significant improvement,PRG-010,COH-2024,false,None,Valid,2023-10-25T00:00:00.000Z,2023-11-01T00:00:00.000Z
OUT-780674,STU-001670,MTR-013,2025-11-01,Q3 2023,45.00,45.00,67.00,false,9.00,75,STF-0034,Peer Review,Medium,Observation Notes,On track,PRG-011,COH-2025,false,Mentorship,Valid,2023-11-19T00:00:00.000Z,2023-11-26T00:00:00.000Z
OUT-780685,STU-000159,MTR-011,2025-11-12,Q2 2023,56.00,56.00,78.00,false,20.00,86,STF-0017,Staff Evaluation,Medium,Project Completion,Needs additional support,PRG-009,COH-2024,false,Counseling,Estimated,2023-11-30T00:00:00.000Z,2023-12-07T00:00:00.000Z
OUT-780766,STU-001173,MTR-006,2025-02-01,Q3 2025,36.00,36.00,57.00,true,30.00,67,STF-0032,System Calculated,Medium,Portfolio Review,,PRG-010,COH-2024,false,Additional Tutoring,Valid,2024-02-19T00:00:00.000Z,2024-02-26T00:00:00.000Z
OUT-780833,STU-001200,MTR-019,2025-04-09,Q2 2024,2.00,2.00,73.00,true,26.00,34,STF-0046,Observation,High,Certification,Exceeded expectations,PRG-002,COH-2025,false,None,Valid,2024-04-26T00:00:00.000Z,2024-05-03T00:00:00.000Z
OUT-780842,STU-000842,MTR-002,2025-04-18,Q3 2023,11.00,11.00,82.00,true,35.00,43,STF-0035,Peer Review,High,Observation Notes,On track,PRG-015,COH-2025,false,None,Valid,2024-05-05T00:00:00.000Z,2024-05-12T00:00:00.000Z
OUT-780848,STU-000259,MTR-008,2025-04-24,Q1 2025,17.00,17.00,88.00,true,41.00,49,STF-0040,Peer Review,High,Survey Response,External factors affected score,PRG-006,COH-2025,false,None,Valid,2024-05-11T00:00:00.000Z,2024-05-18T00:00:00.000Z
OUT-780867,STU-001083,MTR-005,2025-05-13,Q4 2023,36.00,null,56.00,true,-11.00,68,STF-0031,External Assessment,Medium,Project Completion,Needs additional support,PRG-010,COH-2023,false,Additional Tutoring,Valid,2024-05-30T00:00:00.000Z,2024-06-06T00:00:00.000Z
OUT-780874,STU-001867,MTR-020,2025-05-20,Q3 2025,43.00,43.00,63.00,false,-4.00,75,STF-0018,System Calculated,Medium,Project Completion,Needs additional support,PRG-011,COH-2024,false,Mentorship,Valid,2024-06-06T00:00:00.000Z,2024-06-13T00:00:00.000Z
OUT-780898,STU-000047,MTR-029,2025-06-13,Q3 2025,67.00,67.00,87.00,false,20.00,99,STF-0009,System Calculated,Low,Observation Notes,On track,PRG-002,COH-2024,false,Program Change,Needs Review,2024-06-30T00:00:00.000Z,2024-07-07T00:00:00.000Z
OUT-780931,STU-000993,MTR-010,2025-07-16,Q4 2024,100.00,null,69.00,true,-18.00,32,STF-0005,Staff Evaluation,High,Certification,Exceeded expectations,PRG-004,COH-2024,false,None,Valid,2024-08-02T00:00:00.000Z,2024-08-09T00:00:00.000Z
