student_skill_id,student_id,skill_id,initial_assessment_date,initial_proficiency_level,current_proficiency_level,target_proficiency_level,last_assessment_date,assessment_score,hours_practiced,projects_completed,assessed_by_staff_id,learning_style,strengths,areas_for_improvement,recommended_next_steps,progress_notes,status,created_at,updated_at
SSK-620019,STU-001129,SKL-008,2025-09-07,2,5,3,2025-09-07,62.00,135,4,STF-0019,Visual,Creative vision,Technical skills,Mentorship pairing,On track to meet goals,In Development,2023-07-10T00:00:00.000Z,2023-08-09T00:00:00.000Z
SSK-620033,STU-001100,SKL-028,2025-09-21,2,4,5,2025-09-21,76.00,149,7,STF-0035,Auditory,Creative vision,Technical skills,Mentorship pairing,,In Development,2023-07-24T00:00:00.000Z,2023-08-23T00:00:00.000Z
SSK-620046,STU-001936,SKL-021,2025-10-04,1,2,3,2025-10-04,89.00,162,9,STF-0037,Auditory,Technical aptitude,Time management,Advanced training,Showing steady improvement,Proficient,2023-08-06T00:00:00.000Z,2023-09-05T00:00:00.000Z
SSK-620048,STU-001133,SKL-034,2025-10-06,1,4,5,2025-10-06,91.00,164,0,STF-0018,Auditory,Attention to detail,Confidence,Project leadership role,Needs additional support,Proficient,2023-08-08T00:00:00.000Z,2023-09-07T00:00:00.000Z
SSK-620067,STU-000877,SKL-014,2025-10-25,2,3,3,2025-10-25,59.00,183,8,STF-0017,Kinesthetic,Technical aptitude,Time management,Advanced training,On track to meet goals,Proficient,2023-08-27T00:00:00.000Z,2023-09-26T00:00:00.000Z
SSK-620130,STU-000968,SKL-005,2025-12-27,1,1,3,2025-12-27,71.00,45,5,STF-0019,Auditory,Technical aptitude,Time management,Advanced training,Showing steady improvement,In Development,2023-10-29T00:00:00.000Z,2023-11-28T00:00:00.000Z
SSK-620199,STU-001212,SKL-003,2025-03-06,2,5,3,2025-03-06,89.00,114,8,STF-0023,Mixed,Communication,Detail orientation,Portfolio development,On track to meet goals,Not Started,2024-01-06T00:00:00.000Z,2024-02-05T00:00:00.000Z
SSK-620224,STU-001631,SKL-001,2025-03-31,1,5,4,2025-03-31,63.00,139,0,STF-0015,Visual,Fast learner,Focus,Peer tutoring,Exceeding expectations,In Development,2024-01-31T00:00:00.000Z,2024-03-01T00:00:00.000Z
SSK-620303,STU-000011,SKL-007,2025-06-18,2,4,5,2025-06-18,91.00,17,2,STF-0026,Visual,Problem solving,Communication,Certification prep,,In Development,2024-04-19T00:00:00.000Z,2024-05-19T00:00:00.000Z
SSK-620320,STU-000173,SKL-002,2025-07-05,1,1,4,2025-07-05,57.00,34,8,STF-0024,Visual,Creative vision,Technical skills,Mentorship pairing,Exceeding expectations,In Development,2024-05-06T00:00:00.000Z,2024-06-05T00:00:00.000Z
SSK-620331,STU-001616,SKL-021,2025-07-16,2,2,3,2025-07-16,68.00,45,8,STF-0008,Auditory,Problem solving,Communication,Certification prep,On track to meet goals,In Development,2024-05-17T00:00:00.000Z,2024-06-16T00:00:00.000Z
SSK-620391,STU-000379,SKL-018,2025-09-14,2,2,3,2025-09-14,77.00,105,2,STF-0002,Mixed,Attention to detail,Confidence,Project leadership role,On track to meet goals,Needs Support,2024-07-16T00:00:00.000Z,2024-08-15T00:00:00.000Z
SSK-620450,STU-000008,SKL-033,2025-11-12,1,1,5,2025-11-12,85.00,164,6,STF-0002,Kinesthetic,Problem solving,Communication,Certification prep,Needs additional support,Proficient,2024-09-13T00:00:00.000Z,2024-10-13T00:00:00.000Z
SSK-620531,STU-001076,SKL-020,2025-02-01,2,2,5,2025-02-01,64.00,44,10,STF-0031,Auditory,Attention to detail,Confidence,Project leadership role,,In Development,2024-12-03T00:00:00.000Z,2025-01-02T00:00:00.000Z
SSK-620547,STU-001619,SKL-006,2025-02-17,2,3,3,2025-02-17,80.00,60,4,STF-0008,Auditory,Team collaboration,Collaboration,Additional practice,On track to meet goals,Proficient,2024-12-19T00:00:00.000Z,2025-01-18T00:00:00.000Z
SSK-620566,STU-001078,SKL-038,2025-03-08,1,2,4,2025-03-08,99.00,79,1,STF-0030,Kinesthetic,Attention to detail,Confidence,Project leadership role,Exceeding expectations,Proficient,2025-01-07T00:00:00.000Z,2025-02-06T00:00:00.000Z
SSK-620639,STU-001619,SKL-013,2025-05-20,2,5,5,2025-05-20,70.00,152,8,STF-0044,Auditory,Problem solving,Communication,Certification prep,,In Development,2025-03-21T00:00:00.000Z,2025-04-20T00:00:00.000Z
SSK-620917,STU-001262,SKL-006,2025-02-22,2,3,4,2025-02-22,93.00,28,0,STF-0023,Visual,Fast learner,Focus,Peer tutoring,Excellent progress,In Development,2025-12-24T00:00:00.000Z,2026-01-23T00:00:00.000Z
SSK-620955,STU-001969,SKL-034,2025-04-01,2,1,3,2025-04-01,80.00,66,5,STF-0033,Kinesthetic,Communication,Detail orientation,Portfolio development,On track to meet goals,Proficient,2022-01-31T00:00:00.000Z,2022-03-02T00:00:00.000Z
SSK-620989,STU-001418,SKL-013,2025-05-05,2,5,4,2025-05-05,63.00,100,6,STF-0036,Reading/Writing,Problem solving,Communication,Certification prep,Excellent progress,Needs Support,2022-03-06T00:00:00.000Z,2022-04-05T00:00:00.000Z
SSK-621002,STU-001245,SKL-005,2025-05-18,1,3,5,2025-05-18,76.00,113,8,STF-0046,Visual,Team collaboration,Collaboration,Additional practice,Needs additional support,In Development,2022-03-19T00:00:00.000Z,2022-04-18T00:00:00.000Z
SSK-621010,STU-000996,SKL-007,2025-05-26,1,1,4,2025-05-26,84.00,121,5,STF-0008,Visual,Problem solving,Communication,Certification prep,Exceeding expectations,In Development,2022-03-27T00:00:00.000Z,2022-04-26T00:00:00.000Z
